Area Code,Item Code,Element Code,Element Name,Num_2000,Symb_2000,Num_2001,Symb_2001,Num_2002,Symb_2002,Num_2003,Symb_2003,Num_2004,Symb_2004,Num_2005,Symb_2005
120,51,51,Production (Mt),46400.000,C,50000.000,C,56056.000,C,63680.000,C,67000.000,C,104672.000,C
120,51,61,Imports - Qty (Mt),338.000,*,130.000,*,352.000,*,402.000,P,343.000,P,1063.000,P
120,51,91,Exports - Qty (Mt),227.000,*,60.000,*,48.000,*,81.000,P,120.000,P,103.000,P
120,168,61,Imports - Qty (Mt),1941.000,*,1700.000,*,1737.000,*,2191.000,P,2754.000,P,3366.000,P
120,633,61,Imports - Qty (Mt),13457.000,*,19900.000,*,11883.000,*,12883.000,P,41.000,P,17302.000,P
120,634,41,Extr Rate (Hg/Mt),7000.000,C,7000.000,C,7000.000,C,7000.000,C,7000.000,C,7000.000,C
120,634,51,Production (Mt),32200.000,C,33600.000,C,33600.000,C,35000.000,C,35000.000,C,35000.000,C
120,634,61,Imports - Qty (Mt),1235.000,*,180.000,*,1690.000,*,1280.000,P,1847.000,P,2110.000,P
120,654,41,Extr Rate (Hg/Mt),2000.000,C,2000.000,C,2000.000,C,2000.000,C,2000.000,C,2000.000,C
120,654,51,Production (Mt),10360.000,C,10850.000,C,11001.400,C,11592.000,C,11675.000,C,12616.800,C
120,1242,61,Imports - Qty (Mt),58.000,*,65.000,*,150.000,*,163.000,P,101.000,P,123.000,P
121,18,61,Imports - Qty (Mt),11100.000, ,12319.000, ,11784.000, ,12576.000, ,13650.000, ,13243.000, 
121,18,91,Exports - Qty (Mt),28.000,*,64.000, ,1107.000, ,2120.000, ,1600.000, ,2307.000, 
121,27,61,Imports - Qty (Mt),334.000, ,12.000,*,9.000, ,23.000, ,6.000, ,35.000, 
121,27,91,Exports - Qty (Mt),0.000, ,1.000, ,6.000, ,8.000, ,2.000, ,1.000, 
121,28,61,Imports - Qty (Mt),3980.000, ,7291.000, ,4793.000, ,1576.000, ,1698.000, ,1560.000, 
121,28,91,Exports - Qty (Mt),32.000, ,68.000, ,17.000, ,28.000, ,91.000, ,12.000, 
