Area Code,Item Code,Element Code,Element Name,Num_1995,Symb_1995,Num_1996,Symb_1996,Num_1997,Symb_1997,Num_1998,Symb_1998,Num_1999,Symb_1999,Num_2000,Symb_2000,Num_2001,Symb_2001,Num_2002,Symb_2002,Num_2003,Symb_2003,Num_2004,Symb_2004,Num_2005,Symb_2005,Num_2006,Symb_2006,Num_2007,Symb_2007
220,20,41,Extr Rate (Hg/Mt),12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C
220,20,51,Production (Mt),0,C,0,C,0,C,0,C,12,C,12,C,12,C,12,C,12,C,12,C,12,C,12,C,12,C
220,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
220,22,51,Production (Mt),5950,C,5370,C,4850,C,5800,C,6600,C,5500,C,5500,C,5600,C,5200,C,5500,C,9500,C,10000,C,8500,C
221,16,41,Extr Rate (Hg/Mt),7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C
221,16,51,Production (Mt),118455.844,C,89191.172,C,149246.688,C,123273.648,C,166876.297,C,198882.328,C,186422.953,C,135085.281,C,130290.281,C,148428.234,C,81192.727,C,134948.922,C,172414.812,C
222,16,41,Extr Rate (Hg/Mt),8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C
222,16,51,Production (Mt),1633301.25,C,1657270.375,C,1697486,C,1767761.625,C,1727196,C,1781010.375,C,1799846.75,C,1746052.75,C,1686658.375,C,1667300.875,C,1837006.25,C,1696315,C,1803252.375,C
222,18,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
222,18,51,Production (Mt),11110.543,C,11284.188,C,11591.505,C,12090.234,C,11814.605,C,53055.211,C,53681.012,C,52057.199,C,50245.293,C,46747.172,C,51488.816,C,47646.199,C,50524.332,C
222,20,41,Extr Rate (Hg/Mt),12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C
222,20,51,Production (Mt),784.274,C,796.531,C,818.224,C,853.428,C,833.972,C,3745.074,C,3789.248,C,3674.625,C,3546.727,C,3506.038,C,3861.661,C,3573.465,C,3789.325,C
222,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
222,22,51,Production (Mt),1307.123,C,1327.552,C,1363.706,C,1422.381,C,1389.954,C,6241.79,C,6315.413,C,6124.376,C,5911.211,C,8765.095,C,9654.153,C,8933.662,C,9473.312,C
223,16,41,Extr Rate (Hg/Mt),7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C
223,16,51,Production (Mt),10842000,C,10764000,C,10608000,C,10452000,C,10452000,C,10686000,C,11076000,C,10998000,C,11076000,C,11622000,C,12480000,C,12480000,C,12480000,C
223,18,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
223,18,51,Production (Mt),87000,C,97000,C,121000,C,84000,C,19000,C,19000,C,27000,C,38000,C,59000,C,104000,F,142200,C,160300,C,147500,C
223,19,41,Extr Rate (Hg/Mt),200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C
223,19,51,Production (Mt),278000,C,276000,C,272000,C,268000,C,268000,C,274000,C,284000,C,282000,C,284000,C,298000,C,320000,C,320000,C,320000,C
223,20,41,Extr Rate (Hg/Mt),12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C
223,20,51,Production (Mt),264,C,504,C,360,C,432,C,2400,C,600,C,300,C,600,C,1080,C,1128,C,1524,C,1440,C,1200,C
223,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
223,22,51,Production (Mt),121800,C,169900,C,188350,C,125000,C,79400,C,77800,C,95800,C,112000,C,152000,C,159000,C,160500,C,172300,C,208300,C
225,16,41,Extr Rate (Hg/Mt),8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C
225,16,51,Production (Mt),111840,C,160000,C,112800,C,314560,C,455200,C,457600,C,416400,C,464000,C,582400,C,505040,C,671880,C,779200,C,660000,C
225,18,41,Extr Rate (Hg/Mt),100, ,100, ,100, ,100, ,100, ,100, ,100, ,100, ,100, ,100, ,100, ,100, ,100, 
225,18,51,Production (Mt),0,M,0,M,0,M,16,C,20,C,38.4,C,50,C,184,C,176.4,C,88,C,440,C,840,C,260,C
225,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
225,22,51,Production (Mt),0,M,0,M,0,M,2400,C,3000,C,5760,C,7500,C,27600,C,26460,C,13200,C,66000,C,126000,C,39000,C
226,16,41,Extr Rate (Hg/Mt),7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C
226,16,51,Production (Mt),7356.959,C,7815.153,C,21239.939,C,41421.484,C,42504.523,C,66202.461,C,34443.57,C,99175.195,C,131990.984,C,203014.5,C,276560.25,C,294708.75,C,257304.141,C
226,18,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
226,18,51,Production (Mt),315.212,C,139.702,C,244.727,C,406.947,C,319.408,C,419.845,C,183.128,C,522.661,C,684.455,C,1045.343,C,1391.251,C,1476.674,C,1289.716,C
226,20,41,Extr Rate (Hg/Mt),12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C
226,20,51,Production (Mt),378.255,C,167.642,C,293.672,C,488.337,C,383.289,C,503.814,C,219.753,C,627.193,C,821.346,C,1254.411,C,1669.501,C,1772.008,C,1547.659,C
226,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
226,22,51,Production (Mt),2521.697,C,1117.616,C,1957.814,C,3255.579,C,2555.261,C,3358.762,C,1465.023,C,4181.288,C,5475.639,C,8362.74,C,11130.01,C,11813.39,C,10317.726,C
228,16,41,Extr Rate (Hg/Mt),0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T
228,16,51,Production (Mt),0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T
228,19,41,Extr Rate (Hg/Mt),300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C
228,19,51,Production (Mt),0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T,0,T
229,16,41,Extr Rate (Hg/Mt),8044.211,C,8096.71,C,8019.874,C,7935.869,C,7916.373,C,7986.47,C,7910.79,C,7841.151,C,7788.273,C,7898.214,C,7811.06,C,7893.584,C,7948.912,C
