HS 2007 code,HS 2007 title,HS 2012 code,HS 2012 title,FCL Item code,FCL Title,Last update: 12 May 2014
120510,- Low erucic acid rape or colza seeds,120510,- Low erucic acid rape or colza seeds,0270,Rapeseed or colza seed,
120590,- Other,120590,- Other,0270,Rapeseed or colza seed,
120600,"Sunflower seeds, whether or not broken.",120600,"Sunflower seeds, whether or not broken.",0267,Sunflower seed,
120799,-- Other,120710,- Palm nuts and kernels,0254,[Oil palm fruit],
120720,- Cotton seeds,120721,-- Seed,0329,Cottonseed,
120720,- Cotton seeds,120729,-- Other,0329,Cottonseed,
120799,-- Other,120730,- Castor oil Seeds,0265,Castor Beans,
120740,- Sesamum seeds,120740,- Sesamum seeds,0289,Sesame seed,
120750,- Mustard seeds,120750,- Mustard seeds,0292,Mustard seed,
120799,-- Other,120760,- Safflower (Carthamus tinctorius) Seeds,0280,Safflower seed,
120799,-- Other,120770,- Melon Seeds,0299,Melonseed,
120791,-- Poppy seeds,120791,-- Poppy seeds,0296,Poppy seed,
120799,-- Other,120799,-- Other,0305,Tallowtree Seeds,
120799,-- Other,120799,-- Other,0310,Kapok fruit,
120799,-- Other,120799,-- Other,0263,Karite Nuts (Sheanuts),
120799,-- Other,120799,-- Other,0275,Tung Nuts,
120799,-- Other,120799,-- Other,0277,Jojoba Seeds,
120799,-- Other,120799,-- Other,0311,Kapokseed in shell,
120799,-- Other,120799,-- Other,0312,"Kapokseed, shelled",
120799,-- Other,120799,-- Other,0336,Hempseed,
120799,-- Other,120799,-- Other,0339,Oilseeds nes,
120810,- Of soya beans,120810,- Of soya beans,0343,Flour of Oilseeds,
120890,- Other,120890,- Other,0343,Flour of Oilseeds,
120910,- Sugar beet seed,120910,- Sugar beet seed,1294,Seeds for Planting,
120921,-- Lucerne (alfalfa) seed,120921,-- Lucerne (alfalfa) seed,1294,Seeds for Planting,
120922,-- Clover (Trifolium spp.) seed,120922,-- Clover (Trifolium spp.) seed,1294,Seeds for Planting,
120923,-- Fescue seed,120923,-- Fescue seed,1294,Seeds for Planting,
120924,-- Kentucky blue grass (Poa pratensis L.) seed,120924,-- Kentucky blue grass (Poa pratensis L.) seed,1294,Seeds for Planting,
120925,"-- Rye grass (Lolium multiflorum Lam., Lolium perenne L.) seed",120925,"-- Rye grass (Lolium multiflorum Lam., Lolium perenne L.) seed",1294,Seeds for Planting,
120929,-- Other,120929,-- Other,1294,Seeds for Planting,
120930,- Seeds of herbaceous plants cultivated principally for their flowers,120930,- Seeds of herbaceous plants cultivated principally for their flowers,1294,Seeds for Planting,
120991,-- Vegetable seeds,120991,-- Vegetable seeds,1294,Seeds for Planting,
120999,-- Other,120999,-- Other,0256,Palm kernels,
120999,-- Other,120999,-- Other,1294,Seeds for Planting,
121010,"- Hop cones, neither ground nor powdered nor in the form of pellets",121010,"- Hop cones, neither ground nor powdered nor in the form of pellets",0677,Hops,
121020,"- Hop cones, ground, powdered or in the form of pellets; lupulin",121020,"- Hop cones, ground, powdered or in the form of pellets; lupulin",0677,Hops,
121120,- Ginseng roots,121120,- Ginseng roots,1293,Crude Organic Materials nes,
121130,- Coca leaf,121130,- Coca leaf,1293,Crude Organic Materials nes,
121140,- Poppy straw,121140,- Poppy straw,1293,Crude Organic Materials nes,
121190,- Other,121190,- Other,1293,Crude Organic Materials nes,
121190,- Other,121190,- Other,0674,Tea nes,
121190,- Other,121190,- Other,0748,"Peppermint, Spearmint",
121190,- Other,121190,- Other,0754,"Pyrethrum, dried flowers",
121190,- Other,121190,- Other,0756,Pyrethrum Marc,
121220,- Seaweeds and other algae,121221, -- Fit for human consumption (Seaweeds and other algae),1293,Crude Organic Materials nes,
121220,- Seaweeds and other algae,121229, -- Other (Seaweeds and Other algae),1293,Crude Organic Materials nes,
121291,-- Sugar beet,121291,-- Sugar beet,0157,Sugar beet,
121299,-- Other,121292,-- Locust Beans (carob),0461,Carobs,
121299,-- Other,121293,-- Sugar cane,0156,Sugar cane,
121299,-- Other,121294,-- Chicory roots,0459,Chicory roots,
121299,-- Other,121299,-- Other,0161,Sugar crops nes,
121299,-- Other,121299,-- Other,0460,"Vegetable products, fresh or dry nes",
121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets.",121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets.",0635,Straw and Husks,
121410,- Lucerne (alfalfa) meal and pellets,121410,- Lucerne (alfalfa) meal and pellets,0862,Alfalfa Meal and Pellets,
121490,- Other,121490,- Other,0858,"Hay (Clover, Lucerne, etc.)",
